indicator_code,indicator_label,spatial_level,region_or_country,year,numeric_value,value,ci_low,ci_high,disagg_dim1,disagg_dim1_code,source_file,TimeDimensionBegin,TimeDimensionEnd,Region name,Category
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2019,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2019,12/31/2019,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2019,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2019,12/31/2019,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2019,88.57143,89,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2019,12/31/2019,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2020,14.28571,14,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2020,12/31/2020,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2020,2.85714,3,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2020,12/31/2020,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2020,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2020,12/31/2020,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2020,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2020,12/31/2020,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AMR,2020,82.85714,83,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2020,12/31/2020,Americas,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2017,18.18182,18,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2017,12/31/2017,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2017,13.63636,14,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2017,12/31/2017,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2017,9.09091,9,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2017,12/31/2017,E. Mediterranean,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,EMR,2017,4.54545,5,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2017,12/31/2017,E. Mediterranean,Coordination
